eventid,iyear,imonth,iday,provstate,city,latitude,longitude,vicinity,crit1,crit2,crit3,doubtterr,alternative_txt,multiple,success,suicide,attacktype1_txt,attacktype2_txt,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,targtype2_txt,targsubtype2_txt,corp2,target2,natlty2_txt,targtype3_txt,targsubtype3_txt,corp3,target3,natlty3_txt,gname,gname2,gsubname2,individual,nperps,nperpcap,claimed,claimmode_txt,weaptype1_txt,weapsubtype1_txt,weaptype2_txt,weapsubtype2_txt,weaptype3_txt,weapsubtype3_txt,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent_txt,ishostkid,nhostkid,nhostkidus,nhours,ransom,hostkidoutcome,hostkidoutcome_txt,nreleased,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,Twitter
201503100045,2015,3,9,Nevada,Reno,39.530155,-119.8142,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Business,Restaurant/Bar/Café,Kentucky Fried Chicken (KFC),Restaurant,United States,,,,,,,,,,,Animal Liberation Front (ALF),,,0,-99,0,1,Note left at scene,Incendiary,Molotov Cocktail/Petrol Bomb,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,0,1,0,1,0
201503200036,2015,3,20,Louisiana,New Orleans,29.984368,-90.257301,0,1,1,1,1,Lack of Intentionality,0,1,0,Armed Assault,,Airports & Aircraft,Airport,Louis Armstrong New Orleans International Airport,Transportation Security Administration (TSA) Checkpoint,United States,,,,,,,,,,,Unknown,,,1,1,0,0,,Incendiary,Molotov Cocktail/Petrol Bomb,Melee,Knife or Other Sharp Object,Chemical,Poisoning,1,1,1,2,2,0,0,,0,,,,,,,,-9,-9,0,-9,0
201505030003,2015,5,3,Texas,Garland,32.959034,-96.641877,0,1,1,1,0,,0,1,0,Armed Assault,,Private Citizens & Property,"Procession/Gathering (funeral, wedding, birthday, religious)",American Freedom Defense Initiative (AFDI),Muhammad Art Exhibit and Contest,United States,,,,,,,,,,,Jihadi-inspired extremists,,,1,2,0,1,"Posted to website, blog, etc.",Firearms,Automatic Weapon,,,,,2,2,2,1,1,0,0,,0,,,,,,,,-9,-9,0,-9,1
201506170035,2015,6,17,South Carolina,Charleston,32.787474,-79.933101,0,1,1,1,0,,0,1,0,Armed Assault,,Religious Figures/Institutions,Place of Worship,Emanuel African Methodist Episcopal Church,Church,United States,,,,,,,,,,,White extremists,,,1,1,1,1,Personal claim,Firearms,Handgun,,,,,9,9,0,0,0,0,-9,,0,,,,,,,,-9,-9,0,-9,1
201506220069,2015,6,22,Tennessee,Knoxville,35.967509,-83.946033,0,0,1,1,1,Other Crime Type,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,College Hill Seventh Day Adventist Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201506230056,2015,6,23,Georgia,Macon,32.823281,-83.664394,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,God's Power Church of Christ,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201506240051,2015,6,24,North Carolina,Charlotte,35.213923,-80.790063,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Briar Creek Baptist Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201506260046,2015,6,26,South Carolina,Warrenville,33.505056,-81.818259,0,1,1,1,1,Lack of Intentionality,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Glover Grove Missionary Baptist Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201507150077,2015,7,15,Texas,Houston,29.779987,-95.327984,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Fifth Ward Missionary Baptist Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201507160061,2015,7,16,Tennessee,Chattanooga,35.031789,-85.184718,0,1,1,1,0,,1,1,0,Armed Assault,,Military,Military Recruiting Station/Academy,United States Armed Forces,Recruiting Station,United States,,,,,,,,,,,Muslim extremists,,,1,1,0,0,,Firearms,Automatic Weapon,Firearms,Handgun,Firearms,Rifle/Shotgun (non-automatic),6,6,1,2,2,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201507160062,2015,7,16,Tennessee,Chattanooga,35.095083,-85.253424,0,1,1,1,0,,1,1,0,Armed Assault,,Military,Military Recruiting Station/Academy,United States Armed Forces,Recruiting Station,United States,,,,,,,,,,,Muslim extremists,,,1,1,0,0,,Firearms,Automatic Weapon,Firearms,Handgun,Firearms,Rifle/Shotgun (non-automatic),6,6,1,2,2,0,0,,0,,,,,,,,-9,-9,0,-9,0
201507190097,2015,7,19,Illinois,Aurora,41.758165,-88.239197,0,1,1,1,0,,0,0,0,Facility/Infrastructure Attack,,Abortion Related,Clinics,"Planned Parenthood Federation of America, Inc.",Clinic,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,0,,0,,,,,,,,-9,-9,0,-9,0
201507230080,2015,7,23,Louisiana,Lafayette,30.201966,-92.045686,0,1,1,1,0,,0,1,0,Armed Assault,,Business,Entertainment/Cultural/Stadium/Casino,Grand Theatre,Movie Theatre,United States,,,,,,,,,,,Anti-Government extremists,,,1,1,0,1,Personal claim,Firearms,Handgun,,,,,3,3,1,9,9,0,0,,0,,,,,,,,-9,-9,0,-9,1
201508010105,2015,8,1,Louisiana,New Orleans,29.950112,-90.096663,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Abortion Related,Clinics,"Planned Parenthood Federation of America, Inc.",Clinic Construction Site,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
