eventid,iyear,imonth,iday,provstate,city,latitude,longitude,vicinity,crit1,multiple,attacktype1_txt,attacktype2_txt,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,targtype2_txt,targsubtype2_txt,corp2,target2,natlty2_txt,targtype3_txt,targsubtype3_txt,corp3,target3,natlty3_txt,gname,gname2,gsubname2,individual,nperps,nperpcap,claimed,claimmode_txt,weaptype1_txt,weapsubtype1_txt,weaptype2_txt,weapsubtype2_txt,weaptype3_txt,weapsubtype3_txt,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent_txt,ishostkid,nhostkid,nhostkidus,nhours,ransom,hostkidoutcome,hostkidoutcome_txt,nreleased,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,Twitter
2.02E+11,2015,5,3,Texas,Garland,32.959034,-96.641877,0,1,0,Armed Assault,,Private Citizens & Property,"Procession/Gathering (funeral, wedding, birthday, religious)",American Freedom Defense Initiative (AFDI),Muhammad Art Exhibit and Contest,United States,,,,,,,,,,,Jihadi-inspired extremists,,,1,2,0,1,"Posted to website, blog, etc.",Firearms,Automatic Weapon,,,,,2,2,2,1,1,0,0,,0,,,,,,,,-9,-9,0,-9,1
2.02E+11,2015,11,6,California,Ingelwood,33.959535,-118.348342,0,1,0,Unarmed Assault,,Private Citizens & Property,Religion Identified,Not Applicable,Sikh Civilian: Balwinder Jit Singh,United States,,,,,,,,,,,Anti-Sikh extremists,,,1,1,1,1,Personal claim,Melee,"Hands, Feet, Fists",,,,,0,0,0,1,1,0,0,,0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2015,11,23,Minnesota,Minneapolis,44.993387,-93.304452,0,1,0,Armed Assault,,Private Citizens & Property,Political Party Member/Rally,Black Lives Matter,Rally,United States,,,,,,,,,,,Sovereign Citizen,White extremists,Supremacists,0,4,4,0,,Firearms,Handgun,,,,,0,0,0,5,5,0,0,,0,,,,,,,,0,0,0,0,0
2.02E+11,2015,12,5,New York,New York City,40.781593,-73.91357,0,1,0,Unarmed Assault,,Private Citizens & Property,Religion Identified,Not Applicable,Muslim Civilian,United States,,,,,,,,,,,Anti-Muslim extremists,,,1,1,1,0,,Melee,"Hands, Feet, Fists",,,,,0,0,0,1,1,0,0,,0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2015,12,30,Pennsylvania,Colerain,39.896069,-76.056449,0,1,0,Bombing/Explosion,,Private Citizens & Property,Religion Identified,Not Applicable,Amish Phone Shed,United States,,,,,,,,,,,Unknown,,,1,2,2,1,Personal claim,Explosives/Bombs/Dynamite,Other Explosive Type,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2015,12,31,Pennsylvania,Strasburg,39.983107,-76.184353,0,1,0,Bombing/Explosion,,Private Citizens & Property,Religion Identified,Not Applicable,Amish Produce Shed,United States,,,,,,,,,,,Unknown,,,1,2,2,1,Personal claim,Explosives/Bombs/Dynamite,Other Explosive Type,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2016,1,15,New York,New York City,40.828977,-73.856654,0,1,0,Unarmed Assault,,Private Citizens & Property,Religion Identified,Not Applicable,Muslim Civilian: Mujibur Rahman,Bangladesh,,,,,,,,,,,Anti-Muslim extremists,,,1,2,2,0,,Melee,"Hands, Feet, Fists",,,,,0,0,0,1,,0,0,,0,,,,,,,,-9,-9,1,1,0
2.02E+11,2016,2,28,California,Lake Los Angeles,34.605975,-117.829953,0,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,Not Applicable,Hispanic Civilians,United States,,,,,,,,,,,White extremists,,,1,3,3,0,,Melee,Knife or Other Sharp Object,Melee,"Hands, Feet, Fists",,,0,0,0,3,3,0,0,,0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2016,9,17,New Jersey,Seaside Park,39.925457,-74.074757,0,1,1,Bombing/Explosion,,Private Citizens & Property,"Procession/Gathering (funeral, wedding, birthday, religious)",Seaside Semper Five Marine Corps Charity 5K,Charity Race,United States,,,,,,,,,,,Jihadi-inspired extremists,,,1,1,1,1,Note left at scene,Explosives/Bombs/Dynamite,Remote Trigger,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,1
2.02E+11,2016,9,17,New York,New York City,40.743378,-73.993733,0,1,1,Bombing/Explosion,,Private Citizens & Property,Unnamed Civilian/Unspecified,Not Applicable,Civilians,United States,,,,,,,,,,,Jihadi-inspired extremists,,,1,1,1,1,Note left at scene,Explosives/Bombs/Dynamite,Remote Trigger,,,,,0,0,0,29,29,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,1
2.02E+11,2016,10,16,North Carolina,Hillsborough,36.060668,-79.101578,0,1,0,Facility/Infrastructure Attack,,Private Citizens & Property,Political Party Member/Rally,Republican Party (GOP),Office,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Molotov Cocktail/Petrol Bomb,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2016,11,28,Ohio,Columbus,40.00329,-83.011421,0,1,0,Armed Assault,,Private Citizens & Property,Student,Ohio State University,Students,United States,,,,,,,,,,,Jihadi-inspired extremists,,,1,1,0,1,"Posted to website, blog, etc.",Melee,Knife or Other Sharp Object,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,1,0,1,11,11,0,0,,0,,,,,,,,-9,-9,0,-9,1
