eventid,iyear,imonth,iday,provstate,city,latitude,longitude,vicinity,crit1,multiple,attacktype1_txt,attacktype2_txt,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,targtype2_txt,targsubtype2_txt,corp2,target2,natlty2_txt,targtype3_txt,targsubtype3_txt,corp3,target3,natlty3_txt,gname,gname2,gsubname2,individual,nperps,nperpcap,claimed,claimmode_txt,weaptype1_txt,weapsubtype1_txt,weaptype2_txt,weapsubtype2_txt,weaptype3_txt,weapsubtype3_txt,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent_txt,ishostkid,nhostkid,nhostkidus,nhours,ransom,hostkidoutcome,hostkidoutcome_txt,nreleased,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,Twitter
2.02E+11,2015,5,3,Texas,Garland,32.959034,-96.641877,0,1,0,Armed Assault,,Private Citizens & Property,"Procession/Gathering (funeral, wedding, birthday, religious)",American Freedom Defense Initiative (AFDI),Muhammad Art Exhibit and Contest,United States,,,,,,,,,,,Jihadi-inspired extremists,,,1,2,0,1,"Posted to website, blog, etc.",Firearms,Automatic Weapon,,,,,2,2,2,1,1,0,0,,0,,,,,,,,-9,-9,0,-9,1
2.02E+11,2015,6,17,South Carolina,Charleston,32.787474,-79.933101,0,1,0,Armed Assault,,Religious Figures/Institutions,Place of Worship,Emanuel African Methodist Episcopal Church,Church,United States,,,,,,,,,,,White extremists,,,1,1,1,1,Personal claim,Firearms,Handgun,,,,,9,9,0,0,0,0,-9,,0,,,,,,,,-9,-9,0,-9,1
2.02E+11,2015,7,16,Tennessee,Chattanooga,35.031789,-85.184718,0,1,1,Armed Assault,,Military,Military Recruiting Station/Academy,United States Armed Forces,Recruiting Station,United States,,,,,,,,,,,Muslim extremists,,,1,1,0,0,,Firearms,Automatic Weapon,Firearms,Handgun,Firearms,Rifle/Shotgun (non-automatic),6,6,1,2,2,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2015,7,16,Tennessee,Chattanooga,35.095083,-85.253424,0,1,1,Armed Assault,,Military,Military Recruiting Station/Academy,United States Armed Forces,Recruiting Station,United States,,,,,,,,,,,Muslim extremists,,,1,1,0,0,,Firearms,Automatic Weapon,Firearms,Handgun,Firearms,Rifle/Shotgun (non-automatic),6,6,1,2,2,0,0,,0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2015,7,23,Louisiana,Lafayette,30.201966,-92.045686,0,1,0,Armed Assault,,Business,Entertainment/Cultural/Stadium/Casino,Grand Theatre,Movie Theatre,United States,,,,,,,,,,,Anti-Government extremists,,,1,1,0,1,Personal claim,Firearms,Handgun,,,,,3,3,1,9,9,0,0,,0,,,,,,,,-9,-9,0,-9,1
2.02E+11,2015,11,1,Mississippi,Tupelo,34.308638,-88.709435,0,1,0,Bombing/Explosion,,Business,Retail/Grocery/Bakery,Walmart,Store,United States,,,,,,,,,,,Right-wing extremists,,,1,1,1,1,"Posted to website, blog, etc.",Explosives/Bombs/Dynamite,Other Explosive Type,,,,,0,0,0,0,0,0,-9,,0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2015,11,4,California,Merced,37.365797,-120.424771,0,1,0,Armed Assault,,Educational Institution,School/University/Educational Building,"University of California, Merced",Campus,United States,,,,,,,,,,,Jihadi-inspired extremists,,,1,1,0,1,Note left at scene,Melee,Knife or Other Sharp Object,,,,,1,1,1,4,4,0,0,,0,,,,,,,,-9,-9,0,-9,1
2.02E+11,2015,11,6,California,Ingelwood,33.959535,-118.348342,0,1,0,Unarmed Assault,,Private Citizens & Property,Religion Identified,Not Applicable,Sikh Civilian: Balwinder Jit Singh,United States,,,,,,,,,,,Anti-Sikh extremists,,,1,1,1,1,Personal claim,Melee,"Hands, Feet, Fists",,,,,0,0,0,1,1,0,0,,0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2015,11,15,Connecticut,Meriden,41.519714,-72.840257,0,1,0,Armed Assault,,Religious Figures/Institutions,Place of Worship,Baitul Aman Mosque,Mosque,United States,,,,,,,,,,,Anti-Muslim extremists,,,1,1,1,1,Personal claim,Firearms,Automatic Weapon,Firearms,Handgun,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2015,11,19,Virginia,Falls Church,38.861472,-77.146621,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Dar Al-Hijrah Islamic Center,Mosque,United States,,,,,,,,,,,Anti-Muslim extremists,,,1,1,1,0,,Incendiary,Molotov Cocktail/Petrol Bomb,Fake Weapons,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
