eventid,iyear,imonth,iday,provstate,city,latitude,longitude,vicinity,crit1,multiple,attacktype1_txt,attacktype2_txt,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,targtype2_txt,targsubtype2_txt,corp2,target2,natlty2_txt,targtype3_txt,targsubtype3_txt,corp3,target3,natlty3_txt,gname,gname2,gsubname2,individual,nperps,nperpcap,claimed,claimmode_txt,weaptype1_txt,weapsubtype1_txt,weaptype2_txt,weapsubtype2_txt,weaptype3_txt,weapsubtype3_txt,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent_txt,ishostkid,nhostkid,nhostkidus,nhours,ransom,hostkidoutcome,hostkidoutcome_txt,nreleased,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,Twitter
2.02E+11,2015,11,1,Mississippi,Tupelo,34.308638,-88.709435,0,1,0,Bombing/Explosion,,Business,Retail/Grocery/Bakery,Walmart,Store,United States,,,,,,,,,,,Right-wing extremists,,,1,1,1,1,"Posted to website, blog, etc.",Explosives/Bombs/Dynamite,Other Explosive Type,,,,,0,0,0,0,0,0,-9,,0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2015,11,6,California,Ingelwood,33.959535,-118.348342,0,1,0,Unarmed Assault,,Private Citizens & Property,Religion Identified,Not Applicable,Sikh Civilian: Balwinder Jit Singh,United States,,,,,,,,,,,Anti-Sikh extremists,,,1,1,1,1,Personal claim,Melee,"Hands, Feet, Fists",,,,,0,0,0,1,1,0,0,,0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2015,11,15,Connecticut,Meriden,41.519714,-72.840257,0,1,0,Armed Assault,,Religious Figures/Institutions,Place of Worship,Baitul Aman Mosque,Mosque,United States,,,,,,,,,,,Anti-Muslim extremists,,,1,1,1,1,Personal claim,Firearms,Automatic Weapon,Firearms,Handgun,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2015,12,30,Pennsylvania,Colerain,39.896069,-76.056449,0,1,0,Bombing/Explosion,,Private Citizens & Property,Religion Identified,Not Applicable,Amish Phone Shed,United States,,,,,,,,,,,Unknown,,,1,2,2,1,Personal claim,Explosives/Bombs/Dynamite,Other Explosive Type,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2015,12,31,Pennsylvania,Strasburg,39.983107,-76.184353,0,1,0,Bombing/Explosion,,Private Citizens & Property,Religion Identified,Not Applicable,Amish Produce Shed,United States,,,,,,,,,,,Unknown,,,1,2,2,1,Personal claim,Explosives/Bombs/Dynamite,Other Explosive Type,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2016,1,7,Pennsylvania,Philadelphia,39.956614,-75.242429,0,1,0,Armed Assault,,Police,Police Security Forces/Officers,Philadelphia City Police,Officer: Jesse Hartnet,United States,,,,,,,,,,,Jihadi-inspired extremists,,,1,1,1,1,Personal claim,Firearms,Automatic Weapon,,,,,0,0,0,2,2,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2016,3,30,Massachusetts,Tyngsborough,42.691279,-71.438679,0,1,0,Facility/Infrastructure Attack,,Utilities,Electricity,Unknown,Power Lines,United States,,,,,,,,,,,Court Reform extremists,,,1,1,1,1,Note left at scene,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2016,7,17,Florida,Daytona Beach,29.200533,-81.034508,0,1,0,Facility/Infrastructure Attack,,Police,Police Patrol (including vehicles and convoys),Daytona Beach Police Department (DBPD),Vehicle,United States,,,,,,,,,,,Anti-Police extremists,,,0,1,0,1,Note left at scene,Incendiary,Molotov Cocktail/Petrol Bomb,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2016,9,12,Florida,Fort Pierce,27.374522,-80.337837,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Islamic Center of Fort Pierce,Mosque,United States,,,,,,,,,,,Anti-Muslim extremists,,,1,1,1,1,Personal claim,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Unknown,0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2016,9,17,New Jersey,Seaside Park,39.925457,-74.074757,0,1,1,Bombing/Explosion,,Private Citizens & Property,"Procession/Gathering (funeral, wedding, birthday, religious)",Seaside Semper Five Marine Corps Charity 5K,Charity Race,United States,,,,,,,,,,,Jihadi-inspired extremists,,,1,1,1,1,Note left at scene,Explosives/Bombs/Dynamite,Remote Trigger,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,1
